rank,shoe,price,release_date,product_link
45,Air Jordan 3 Retro GS 'Black Cat' 2025,136.0,Jan 11,https://www.goat.com/sneakers/air-jordan-3-retro-gs-black-cat-2025-dm0967-001
46,Air Jordan 1 Retro Low OG 'Mocha',101.0,2024,https://www.goat.com/sneakers/air-jordan-1-retro-low-og-mocha-cz0790-102
47,Gel 1130 'White Black',96.0,2024,https://www.goat.com/sneakers/gel-1130-white-black-1201b019-100
48,Air Jordan 4 Retro 'Oxidized Green',174.0,2024,https://www.goat.com/sneakers/air-jordan-4-retro-oxidized-green-fq8138-103
49,Travis Scott x Wmns Air Jordan 1 Retro Low OG SP 'Canary',255.0,2024,https://www.goat.com/sneakers/travis-scott-x-wmns-air-jordan-1-retro-low-og-sp-canary-dz4137-700
50,Wmns Tasman Slipper 'Black',92.0,2021,https://www.goat.com/sneakers/wmns-tasman-slipper-black-5955-blk
51,Air Jordan 12 Retro GS 'Flu Game' 2025,167.0,Mar 01,https://www.goat.com/sneakers/air-jordan-12-retro-gs-flu-game-2025-153265-002-25
52,Air Jordan 11 Retro 'Gratitude / Defining Moments',189.0,2023,https://www.goat.com/sneakers/air-jordan-11-retro-defining-moments-2023-ct8012-170
53,Zoom Kobe 5 Protro 'Year of the Mamba - University Red',232.0,Jan 18,https://www.goat.com/sneakers/zoom-kobe-5-protro-university-red-hf5182-600
54,Campus 00s 'Core Black Gum',50.0,2023,https://www.goat.com/sneakers/campus-00s-black-white-gum-hq8708
55,Wmns Tazz Slipper 'Chestnut',95.0,2021,https://www.goat.com/sneakers/wmns-tazz-slipper-chestnut-1122553-che
56,Wmns Air Jordan 4 Retro 'Orchid',287.0,2024,https://www.goat.com/sneakers/wmns-air-jordan-4-retro-orchid-aq9129-501
57,Travis Scott x Jordan Jumpman Jack TR 'Dark Mocha',236.0,2024,https://www.goat.com/sneakers/jordan-jumpman-jack-tr-taupe-haze-fz8117-204
58,Handball Spezial 'Collegiate Navy Clear Sky',81.0,2020,https://www.goat.com/sneakers/handball-spezial-navy-gum-bd7633
59,Wmns Dunk Low 'Photon Dust',60.0,2021,https://www.goat.com/sneakers/wmns-dunk-low-photon-dust-dd1503-103
60,Supreme x Air Force 1 Low 'Box Logo - Black',168.0,2020,https://www.goat.com/sneakers/supreme-x-air-force-1-low-box-logo-black-cu9225-001
61,Air Jordan 5 Retro 'White Black',175.0,2024,https://www.goat.com/sneakers/air-jordan-5-retro-white-black-dd0587-110
62,9060 'Black Castlerock',119.0,2022,https://www.goat.com/sneakers/9060-black-castlerock-u9060blk
63,Yeezy Boost 350 V2 'Steel Grey',131.0,2024,https://www.goat.com/sneakers/yeezy-boost-350-v2-steeple-grey-if3219
64,Gel NYC 'Graphite Grey Black',146.0,,https://www.goat.com/sneakers/gel-nyc-graphite-grey-black-1201a789-020
65,Air Jordan 4 Retro SE 'Wet Cement',227.0,2024,https://www.goat.com/sneakers/air-jordan-4-retro-se-smoke-grey-fq7928-001
66,9060 'Triple Black Suede',186.0,2023,https://www.goat.com/sneakers/9060-triple-black-u9060bpm
67,Gel Kayano 14 'Silver Cream',177.0,2023,https://www.goat.com/sneakers/gel-kayano-14-silver-cream-1201a019-108
68,Wmns Dunk Low 'Black White',74.0,2021,https://www.goat.com/sneakers/wmns-dunk-low-black-white-dd1503-101
69,Yeezy Slides 'Slate Grey',80.0,2023,https://www.goat.com/sneakers/yeezy-slides-slate-grey-id2350
70,Air Jordan 12 Retro GS 'Blueberry',160.0,2024,https://www.goat.com/sneakers/air-jordan-12-retro-gs-wizards-153265-140
71,A Ma Maniére x Wmns Air Jordan 4 Retro 'While You Were Sleeping',208.0,2024,https://www.goat.com/sneakers/a-ma-maniere-x-wmns-air-jordan-4-retro-fossil-stone-fz4810-200
72,2002R 'Protection Pack - Rain Cloud',131.0,2021,https://www.goat.com/sneakers/2002r-protection-pack-rain-cloud-m2002rda
73,Air Jordan 9 Retro 'Olive' 2024,182.0,2024,https://www.goat.com/sneakers/air-jordan-9-retro-olive-2024-fq8992-030
74,Air Jordan 14 Retro 'Black Toe' 2024,201.0,2024,https://www.goat.com/sneakers/air-jordan-14-retro-black-toe-2024-487471-160
75,Air Jordan 4 Retro GS 'Bred Reimagined',128.0,2024,https://www.goat.com/sneakers/air-jordan-4-retro-gs-bred-reimagined-fq8213-006
76,9060 'Shadow Grey',120.0,2024,https://www.goat.com/sneakers/9060-shadow-grey-u9060zgb
77,Wmns Gel Kayano 14 'White Midnight',115.0,2023,https://www.goat.com/sneakers/wmns-gel-kayano-14-white-midnight-1202a056-109
78,Air Jordan 3 Retro OG GS 'Black Cement' 2024,114.0,2024,https://www.goat.com/sneakers/air-jordan-3-retro-gs-black-cement-reimagined-dm0967-010
79,Air Jordan 4 Retro 'Red Cement',211.0,2023,https://www.goat.com/sneakers/air-jordan-4-retro-red-cement-dh6927-161
80,Air Jordan 1 Retro High OG 'Chicago Lost & Found',218.0,2022,https://www.goat.com/sneakers/air-jordan-1-retro-high-og-dz5485-612
81,Bad Bunny x Response CL 'Paso Fino',104.0,2023,https://www.goat.com/sneakers/bad-bunny-x-response-cl-ecru-tint-id0780
82,Zoom Kobe 5 Protro 'X-Ray',203.0,2024,https://www.goat.com/sneakers/zoom-kobe-5-protro-deep-royal-blue-hj4303-400
83,Gel Kayano 14 'Black Pure Silver',129.0,2024,https://www.goat.com/sneakers/gel-kayano-14-black-pure-silver-1201a019-006
84,Yeezy Slides 'Granite',85.0,2023,https://www.goat.com/sneakers/yeezy-slides-granite-id4132
85,Wmns Classic Ultra Mini Boot 'Chestnut',59.0,2021,https://www.goat.com/sneakers/wmns-classic-ultra-mini-boot-chestnut-1116109-che
86,Air Jordan 11 Retro Low 'Space Jam',208.0,2024,https://www.goat.com/sneakers/air-jordan-11-retro-low-space-jam-fv5104-004
87,Gel 1130 'White Cloud Grey',110.0,,https://www.goat.com/sneakers/gel-1130-white-cloud-grey-1201a256-118
88,9060 'Raincloud',118.0,2022,https://www.goat.com/sneakers/9060-rain-cloud-u9060gry
89,Air Jordan 4 Retro GS 'White Thunder',207.0,2024,https://www.goat.com/sneakers/air-jordan-4-retro-gs-white-thunder-fq8213-001
90,Wmns Air Jordan 11 Retro 'Bred Velvet',165.0,2024,https://www.goat.com/sneakers/wmns-air-jordan-11-retro-bred-velvet-db5457-061
91,Zoom KD 4 'Aunt Pearl' 2024,124.0,2024,https://www.goat.com/sneakers/kd-4-aunt-pearl-2024-hf9098-600
92,Air Jordan 3 Retro 'Green Glow',129.0,2024,https://www.goat.com/sneakers/air-jordan-3-retro-green-glow-ct8532-031
93,Maison Mihara Yasuhiro Peterson OG Sole Canvas Low 'Black',244.0,2020,https://www.goat.com/sneakers/maison-mihara-yasuhiro-peterson-og-sole-canvas-low-black-a01fw702-blk
94,Maison Mihara Yasuhiro Hank OG Sole Canvas Low 'Black White',251.0,2022,https://www.goat.com/sneakers/maison-mihara-yasuhiro-hank-og-sole-canvas-low-black-a05fw702-blk
95,9060 'Quartz Grey',136.0,2023,https://www.goat.com/sneakers/9060-quartz-grey-u9060hsa
96,Air Jordan 5 Retro OG PS 'Black Metallic Reimagined',105.0,Feb 08,https://www.goat.com/sneakers/air-jordan-5-retro-og-ps-metallic-2025-hf3978-001
97,Air Jordan 6 Retro 'Olympic' 2024,130.0,2024,https://www.goat.com/sneakers/air-jordan-6-retro-olympic-2024-ct8529-164
98,Samba OG 'White Black Gum',86.0,2018,https://www.goat.com/sneakers/samba-og-b75806
99,Yeezy Boost 350 V2 'MX Dark Salt',127.0,2023,https://www.goat.com/sneakers/yeezy-boost-350-v2-mx-dark-salt-id4811
100,Wmns Dunk Low 'Cacao Wow',71.0,2023,https://www.goat.com/sneakers/wmns-dunk-low-cacao-wow-dd1503-124
101,Nigel Sylvester x Air Jordan 4 Retro OG SP 'Brick By Brick',321.0,Mar 14,https://www.goat.com/sneakers/air-jordan-4-retro-og-sp-firewood-orange-hf4340-800
102,RIOT Skateshop x Dunk Low SB 'Mahogany Dark Beetroot',112.0,Jan 21,https://www.goat.com/sneakers/riot-skateshop-x-dunk-low-sb-mahogany-dark-beetroot-fz1289-200
103,Dunk Low SE 'Black Anthracite Gum',118.0,Jan 06,https://www.goat.com/sneakers/dunk-low-se-black-anthracite-gum-hq1931-001
104,Wmns Air Jordan 4 Retro 'Abundance / Seafoam',172.0,Mar 08,https://www.goat.com/sneakers/wmns-air-jordan-4-retro-seafoam-hv0823-003
105,740 'Lunar New Year',106.0,Jan 06,https://www.goat.com/sneakers/740-lunar-new-year-u740ln1
106,Harden Vol. 9 'Cyber Metallic',113.0,Jan 25,https://www.goat.com/sneakers/harden-vol-9-cyber-metallic-jr2506
107,Book 1 'Black Label Pack',231.0,Feb 14,https://www.goat.com/sneakers/book-1-black-label-pack-ib3862-001
108,Union LA x Air Jordan 1 Retro High OG SP 'Chicago Shadow',351.0,Feb 27,https://www.goat.com/sneakers/union-la-x-air-jordan-1-retro-high-og-sp-chicago-shadow-hv8563-600
109,1000 'Lunar New Year',116.0,Jan 06,https://www.goat.com/sneakers/1000-black-white-m1000lny
110,Air Jordan 9 Retro 'Cool Grey' 2025,253.0,Mar 15,https://www.goat.com/sneakers/air-jordan-9-retro-cool-grey-hv4794-011
111,Gel 1130 'Cream Blueberry',110.0,Jan 01,https://www.goat.com/sneakers/gel-1130-cream-blue-1203a609-101
112,Wmns Dunk Low 'Roses',109.0,Jan 20,https://www.goat.com/sneakers/wmns-dunk-low-roses-hf1986-100
113,Wmns Air Jordan 4 Retro 'Net - Black',182.0,Feb 26,https://www.goat.com/sneakers/wmns-air-jordan-4-retro-net-black-fn7251-001
114,Liberty London x Wmns Gazelle Indoor 'Floral Embroidery',150.0,Jan 10,https://www.goat.com/sneakers/liberty-london-x-wmns-gazelle-indoor-floral-embroidery-jp5309
115,Zoom Kobe 6 GS 'All-Star - Sail',126.0,Feb 13,https://www.goat.com/sneakers/zoom-kobe-6-gs-all-star-2-0-fv9676-100
116,Wmns Air Force 1 Low 'Valentine's Day 2025',117.0,Feb 10,https://www.goat.com/sneakers/wmns-air-force-1-low-valentine-s-day-2025-hv5992-111
117,Dunk Low 'Year of the Snake',106.0,Jan 14,https://www.goat.com/sneakers/dunk-low-year-of-the-snake-hv5980-231
118,Dunk Low SB 'Aluminum',118.0,Feb 19,https://www.goat.com/sneakers/dunk-low-sb-aluminum-hf3063-400
119,Total 90 3 SP 'Metallic Silver Red' 2025,122.0,Mar 01,https://www.goat.com/sneakers/total-90-3-sp-metallic-silver-red-2025-hj9351-002
120,Air Zoom Maxfly 2 'Denim Turquoise',157.0,Feb 02,https://www.goat.com/sneakers/air-zoom-maxfly-2-denim-turquoise-hq1843-400
121,Wmns Samba OG 'Cow Print',182.0,Feb 01,https://www.goat.com/sneakers/wmns-samba-og-cow-print-jr1256
122,Air Foamposite One 'Black Volt',252.0,Mar 14,https://www.goat.com/sneakers/air-foamposite-one-black-volt-hf2902-001
123,Kobe 9 Elite Protro 'Masterpiece' 2025,150.0,Feb 08,https://www.goat.com/sneakers/kobe-9-elite-protro-masterpiece-fz7335-001
124,Air Zoom Pegasus 41 'Doernbecher 2025',161.0,Jan 25,https://www.goat.com/sneakers/air-zoom-pegasus-41-doernbecher-2024-ib6096-920
125,Air Jordan 3 Retro TD 'Black Cat' 2025,56.0,Jan 11,https://www.goat.com/sneakers/air-jordan-3-retro-td-black-cat-2025-dm0968-001
126,Pegasus Premium 'Airscape',211.0,Jan 30,https://www.goat.com/sneakers/pegasus-premium-airscape-hq2592-002
127,Air Jordan 1 Retro High OG GS 'Black Toe Reimagined',94.0,Feb 15,https://www.goat.com/sneakers/air-jordan-1-retro-high-og-gs-black-toe-reimagined-fd1437-061
128,Wmns SL72 OG 'Cheetah Pack - Impact Orange',121.0,Jan 30,https://www.goat.com/sneakers/wmns-sl72-og-leopard-pack-impact-orange-ji0189
129,Wmns Tazz Slipper 'Love '25 Pack - Arroyo Tropical Pink',167.0,Jan 16,https://www.goat.com/sneakers/wmns-tazz-slipper-love-25-pack-arroyo-tropical-pink-1172130-ayt
130,Air Jordan 11 Retro Low 'Bred' 2025,266.0,Apr 26,https://www.goat.com/sneakers/air-jordan-11-retro-low-bred-2025-fv5104-006
131,Wmns Samba OG 'Cheetah Pack - Collegiate Green',130.0,Jan 30,https://www.goat.com/sneakers/wmns-samba-og-black-green-leopard-ji2735
132,Air Flightposite 'Black' 2025,227.0,Feb 28,https://www.goat.com/sneakers/air-flightposite-black-2025-fv5582-001
133,Wmns Lowmel 'Love '25 Pack',181.0,Jan 16,https://www.goat.com/sneakers/wmns-lowmel-love-25-pack-1172170-jnt
134,JJJJound x 993 Made in USA 'Mushroom',377.0,Jan 16,https://www.goat.com/sneakers/jjjjound-x-993-made-in-usa-brown-black-u993jj
135,Sandy Liang x XT-Whisper 'Fairy Tale',196.0,Jan 23,https://www.goat.com/sneakers/sandy-liang-x-xt-whisper-fairy-tale-l47846300
136,Wmns Sambae 'Valentine's Day 2025',111.0,Jan 15,https://www.goat.com/sneakers/wmns-sambae-valentine-s-day-2025-jh7287
137,Zoom KD 4 'The Real MVP - Summit White',132.0,Feb 18,https://www.goat.com/sneakers/kd-4-alternate-mvp-ib3546-100
138,Air Force 1 Low 'All-Star 2025',111.0,Jan 16,https://www.goat.com/sneakers/air-force-1-low-all-star-2025-hf2885-001
139,Air Jordan 1 Retro Low '85 OG 'Royal',182.0,Feb 22,https://www.goat.com/sneakers/air-jordan-1-retro-low-85-og-royal-ib1981-004
140,Wmns Sabrina 2 'Triple Double',129.0,Feb 01,https://www.goat.com/sneakers/wmns-sabrina-2-pink-foam-fq2174-601
141,Joe Freshgoods x 992 Made in USA 'Aged Well',239.0,Feb 21,https://www.goat.com/sneakers/joe-freshgoods-x-992-made-in-usa-rose-smoke-u992jg1
142,Vomero 5 GS 'Valentine's Day 2025',100.0,Jan 08,https://www.goat.com/sneakers/air-zoom-vomero-5-gs-valentine-s-day-hv5171-121
143,Zoom Kobe 5 Protro GS 'Year of the Mamba - University Red',172.0,Jan 18,https://www.goat.com/sneakers/zoom-kobe-5-protro-gs-university-red-hm3753-600
144,Dunk Low SB Pro B 'Parachute Beige',107.0,Jan 24,https://www.goat.com/sneakers/dunk-low-sb-parachute-beige-hj0367-200
145,Book 1 Textile 'Sedona',101.0,Jan 01,https://www.goat.com/sneakers/book-1-sedona-fj4249-600
146,Air Jordan 1 Retro Low OG 'Year of the Snake',146.0,Jan 29,https://www.goat.com/sneakers/air-jordan-1-low-og-year-of-the-snake-hf3144-100
147,Wmns Air Zoom Vomero 5 'Elemental Pink',140.0,Jan 13,https://www.goat.com/sneakers/wmns-air-zoom-vomero-5-elemental-pink-fj2028-600
148,Air Tech Challenge 2 'Racer Pink',112.0,Jan 31,https://www.goat.com/sneakers/air-tech-challenge-2-racer-pink-fz9033-100
149,Book 1 'Forrest Gump Cortez',120.0,Jan 24,https://www.goat.com/sneakers/book-1-forrest-gump-fj4249-105
150,Wmns Air Jordan 6 Retro 'Doernbecher 2025',282.0,Jan 25,https://www.goat.com/sneakers/air-jordan-6-retro-doernbecher-2024-ib6059-920
151,Air Max 90 'Volcano',121.0,Feb 22,https://www.goat.com/sneakers/air-max-90-volcano-hf3248-001
152,Air Jordan 11 Retro Low 'Year of the Snake',201.0,Jan 23,https://www.goat.com/sneakers/air-jordan-11-low-year-of-the-snake-hq7000-001
153,Air Max Plus 'Hyper Blue' 2025,130.0,Jan 20,https://www.goat.com/sneakers/air-max-plus-hyper-blue-2025-dx0755-001
154,A Ma Maniére x Air Jordan 3 Retro OG SP 'For The Love',349.0,Mar 29,https://www.goat.com/sneakers/air-jordan-3-retro-og-sp-diffused-blue-hv8571-100
155,Air Diamond Turf Premium 'Signing Day',159.0,Feb 08,https://www.goat.com/sneakers/air-diamond-turf-premium-signing-day-hv5788-001
156,Tiempo Legend 10 Elite Luxe FG Made in Italy 'Montebelluna',296.0,Jan 29,https://www.goat.com/sneakers/tiempo-legend-10-elite-luxe-fg-made-in-italy-montebelluna-fz1487-600
157,KD 17 'B.A.D.',99.0,Jan 01,https://www.goat.com/sneakers/kd-17-b-a-d-fj9487-500
158,Gel Kayano 20 'Cream Deep Marine',139.0,Jan 31,https://www.goat.com/sneakers/gel-kayano-20-cream-blue-red-1203a388-101
159,Air Max 180 'Doernbecher 2025',182.0,Jan 25,https://www.goat.com/sneakers/air-max-180-doernbecher-2024-ib6070-920
160,Air Force 1 '07 LE 'Year of the Snake',100.0,Jan 14,https://www.goat.com/sneakers/air-force-1-low-year-of-the-snake-hv5979-130
161,Dunk Low 'St. John's' 2025,83.0,Jan 01,https://www.goat.com/sneakers/dunk-low-st-john-s-2025-hf5441-104
162,Zoom Kobe 5 Protro GS 'Year of the Mamba - Eggplant',136.0,Jan 09,https://www.goat.com/sneakers/zoom-kobe-5-protro-gs-eggplant-hm3753-500
163,Zoom KD 4 'Scoring Title' 2025,87.0,Feb 14,https://www.goat.com/sneakers/zoom-kd-4-scoring-title-2025-fz5916-400
164,Wmns Air Max Muse 'Black Metallic Silver',139.0,Jan 10,https://www.goat.com/sneakers/wmns-air-max-muse-black-metallic-silver-fv1920-001
165,AE 1 Low 'Year of the Snake',127.0,Jan 18,https://www.goat.com/sneakers/ae-1-low-year-of-the-snake-js0646
166,Swaroski x Ja 2 'Black Label Pack - Scratch Bling',193.0,Feb 14,https://www.goat.com/sneakers/swaroski-x-ja-2-black-label-pack-scratch-bling-ib3859-001
167,Air Jordan 3 Retro PS 'Black Cat' 2025,76.0,Jan 11,https://www.goat.com/sneakers/air-jordan-3-retro-ps-black-cat-2025-dm0966-001
168,1906L 'Rich Oak Suede',191.0,Feb 05,https://www.goat.com/sneakers/1906l-rich-oak-u1906lns
169,Wmns Tazz Slipper 'Love '25 Pack - Tropical Pink',159.0,Jan 16,https://www.goat.com/sneakers/wmns-tazz-slipper-love-25-pack-tropical-pink-1172130-tpcl
170,Air Jordan 1 Mid SE 'Black Metallic Reimagined',94.0,Jan 23,https://www.goat.com/sneakers/air-jordan-1-mid-se-black-metallic-reimagined-hv5177-010
171,Teenage Mutant Ninja Turtles x MB.03 Lo 'Krang',152.0,Feb 22,https://www.goat.com/sneakers/teenage-mutant-ninja-turtles-x-mb-03-lo-krang-311327-01
172,Wmns Air Jordan 5 Retro 'Golden Ticket',121.0,Jan 22,https://www.goat.com/sneakers/wmns-air-jordan-5-retro-earth-dd9336-200
173,Monsters Inc. x Classic Cozzzy Sandal 'Sulley',74.0,Feb 18,https://www.goat.com/sneakers/monsters-inc-x-classic-cozzzy-sandal-sulley-210877-90h
174,Wmns Sabrina 2 'Doernbecher 2025',208.0,Jan 25,https://www.goat.com/sneakers/wmns-sabrina-2-doernbecher-2024-ib6103-920
175,Air Max 1 Premium 'Valentine’s Day Pack - Playful Pink',105.0,Feb 07,https://www.goat.com/sneakers/air-max-1-valentine-s-day-pack-playful-pink-hv2301-600
176,AE 1 Low 'Best of Adi 2.0',72.0,Feb 01,https://www.goat.com/sneakers/ae-1-low-best-of-adi-2-0-jq6140
177,Wmns Air Force 1 '07 'White Roses',117.0,Jan 08,https://www.goat.com/sneakers/wmns-air-force-1-low-white-roses-hf2016-100
178,Air Jordan 3 Retro GS 'Lucky Shorts',92.0,Feb 22,https://www.goat.com/sneakers/air-jordan-3-retro-gs-summit-white-hydrogen-blue-dm0967-101
179,Air Jordan 5 Retro OG TD 'Black Metallic Reimagined',110.0,Feb 08,https://www.goat.com/sneakers/air-jordan-5-retro-og-td-metallic-2025-hf3977-001
180,Wmns Cortez 'Valentine's Day 2025',106.0,Feb 10,https://www.goat.com/sneakers/wmns-cortez-valentine-s-day-2025-hv6012-161
181,1906A 'Deep Blue',169.0,Jan 22,https://www.goat.com/sneakers/1906a-deep-blue-u1906ab
182,Air Jordan 1 Retro Low OG 'Rookie of the Year',174.0,Apr 18,https://www.goat.com/sneakers/air-jordan-1-retro-low-og-rookie-of-the-year-cz0790-107
